sector,x_AI,x_H,NewJob,UpgradeJob,DisplacedJob,RetrainingCapacity,NetJob
Nông-Lâm-Thủy sản,0.0,9000.0,0.0,405000.0,0.0,450000.0,405000.0
CN chế biến chế tạo,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xây dựng,0.0,3000.0,0.0,105000.0,0.0,126000.0,105000.0
Bán buôn-bán lẻ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tài chính-Ngân hàng,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Logistics-Vận tải,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNTT-Truyền thông,6525.679758308157,2474.3202416918434,407854.98489425983,49486.40483383687,59383.68580060424,59383.685800604246,397957.7039274925
Giáo dục-Đào tạo,0.0,9000.0,0.0,495000.0,0.0,558000.0,495000.0
