year,GDP_trillion_VND,K_accum_trillion_VND,L_million,digital_GDP_pct,AI_thousand_digital_firms,trained_labor_pct,TFP_A,GDP_hat_Abar,APE_pct
2020,8044.4,16500,53.6,12.0,55.6,24.1,27.746578905029377,8971.518400394334,11.525016165212243
2021,8487.5,17800,50.5,12.7,60.2,26.1,28.763774861643174,9130.94326920917,7.581069445763422
2022,9513.3,19600,51.7,14.3,65.4,26.2,30.350073467766933,9699.585680023443,1.9581604703251765
2023,10221.8,21300,52.4,16.5,67.0,27.0,30.975129268210125,10211.651615213934,0.09928177802408511
2024,11511.9,23500,52.9,18.3,73.8,28.4,32.9170820376883,10821.997183065945,5.9929535257781446
2025,12847.6,25900,53.4,19.5,80.1,29.2,34.91362111442643,11386.987663652897,11.36875631516473
